,x,y,label,state
7,-14.24176770661033,3.2967708042027866,1,CA
11,-5.820270534152128,1.342553168261706,1,CA
12,-12.84491469876993,1.712558547224048,7,CA
15,-3.11687049344027,2.8181481388915692,3,CA
24,-4.805775751998328,-1.5909869222068413,5,CA
37,-1.6803109821000604,-2.5833398266722227,4,CA
38,-4.126584394929578,-1.8326338566185596,4,CA
45,2.9316203201799618,-0.20305541063862514,3,NV
46,-1.2200808495001727,-2.4400777210451245,4,CA
48,-9.077583564548954,0.004742936087167463,1,NV
50,-0.6957835858059532,-2.4308051152918635,0,CA
55,-0.6114150046952506,-2.6706097453558932,0,NV
63,0.8257867326659297,-2.3751054573158443,7,CA
66,-10.46677883907437,0.8523499535596962,1,NV
68,-7.530142460102654,-0.008350220398253436,1,CA
72,-6.031804964925063,0.2382141228315831,1,CA
76,1.6279627304006121,-3.2367828826776734,4,CA
82,-9.296501558673272,1.5905790942003513,0,CA
84,1.0390999678580093,-3.569797625379437,4,CA
87,1.080056940241331,-3.8371833897546046,4,CA
90,-1.6518974057113889,-1.400362207180403,4,NV
94,4.6257651797988535,-4.878311085532096,4,CA
98,2.7064416009831636,-3.2961302563178534,5,CA
106,-1.4587478210338494,-3.533564501366606,5,CA
110,1.2315861665548444,2.158887368279506,3,NV
122,-0.7227447038182595,-3.9394340917628097,4,CA
125,0.8619360459672778,-3.901085919335168,7,CA
127,2.0148966616495296,-2.946571402052444,4,NV
128,-0.6021595766808531,-3.8235525495802904,4,AR
130,-0.9150135250539136,-4.391487171815452,7,CA
136,0.32337694942564993,-3.2963123760516453,4,CA
146,12.428256243121785,-7.702357231795453,4,CA
152,-2.789053382657784,-2.459884922647685,4,NV
163,0.640175311611289,-3.545912480886879,5,NM
166,-10.973076575521684,2.2676715385046915,4,CA
167,0.2922950371572897,9.822517491403607,2,CA
185,2.8436280729818475,-2.589379412221686,0,CA
195,-0.9466887919785756,-3.9588200336955106,7,CA
196,-6.736116885318895,-0.7474282266063489,7,CA
207,5.116147948110845,-5.3390524642753014,4,NM
214,-0.29847916581532513,-3.8273268843936257,4,CA
229,10.503595465896074,0.7568727604155776,3,CA
235,-1.6365909923712587,-2.302479901136829,1,CA
237,-8.674282748775898,1.9886446360722168,1,CA
241,1.5161042314900999,-4.150508687603078,4,CA
244,1.5245559174410868,-5.691523751688369,7,CA
246,-4.549463731554107,-1.0519247730856347,1,CA
257,6.793703032476115,8.818954339832763,2,CA
258,4.919482743152464,-4.178452122968029,4,NM
262,3.1765097489301897,-3.340070475147822,5,NC
265,2.4900048574904883,-3.164519649265412,5,NM
284,10.590136382422052,-4.818221254793448,4,CA
286,11.43712613881468,3.2960561860329793,2,NM
287,0.948644859712731,-4.368704861186816,7,NM
292,12.816046696760917,13.920519545350846,2,CA
310,3.452701014979785,-3.4394736521576057,1,CA
311,-0.7503805912407197,-1.7027596098982438,1,AR
313,-0.3937124184603336,4.554790819263356,4,CA
323,-9.186466388722582,-1.14618160712661,7,NC
324,5.251096697509079,-4.252624797430123,4,CA
325,6.602870423372411,-2.6344426122757776,4,CA
329,0.7165189393765958,1.2177825965705036,1,NM
333,-3.5840570802666423,-2.376613446406221,7,CA
343,5.664389398869887,-5.457182785681415,4,CA
347,4.0531731894741,-3.7598593154708535,1,CA
349,-10.189197140689876,1.5039220447875508,1,CA
353,2.110908274353842,-2.4318860450635853,1,NV
354,-3.8026680819406025,-0.25225020779852136,1,NV
362,10.667050159247559,11.038346322783758,2,CA
365,1.7940116906506147,10.820324998085436,2,CA
367,4.638616175318328,10.338586889687924,2,NM
368,4.1678105080785715,8.76277080250824,2,CA
385,-0.610120038381242,-1.5461720382016109,4,CA
401,5.771502635177329,-4.150257396038049,4,CA
429,11.417599385965115,9.211774125561785,2,AR
433,-0.38899352013554817,-0.72803487184296,1,NV
442,-4.240961529227456,13.04600374174049,1,CA
443,7.243327639226824,9.284965685130775,2,AR
457,-2.447602961534209,-4.369952953846356,7,NV
464,0.22161939381619186,-3.0470350446410404,4,CA
467,14.079384388700376,3.969040903891057,3,CA
468,2.6133522309401167,-2.69060872806454,6,CA
474,-2.36420043433484,-1.4281121065948248,4,NC
476,-2.8615684134545347,11.498734432903895,2,CA
481,1.3022024262738199,-4.29880033942266,4,NC
483,-4.090300188625413,2.6654163375383177,0,CA
484,5.095196474896773,-5.060427262786272,4,CA
491,-5.801137623085335,-0.2920859856485626,4,CA
493,4.7526755626074735,-3.215143248001543,4,NV
497,-6.862140741093057,0.8958234092173689,1,CA
506,6.964110803804919,-4.7988007222027065,4,CA
509,-3.9725870667604224,-1.4075494337256726,5,CA
514,-3.5828018230501217,-0.1448402727488179,4,CA
515,1.8480685626625346,1.538626609369889,3,CA
529,-7.360970541428302,0.4564090870335557,5,NM
535,2.669549727653444,-3.8159000026284327,5,AR
546,-0.43758623201319946,-1.862388630211752,6,CA
548,-5.693295364974926,-2.467473639562353,7,CA
556,13.444498633681135,-7.672105647042722,4,CA
559,1.764441328386379,-3.2616626375736226,0,CA
561,-2.8940144415160964,-0.6757784807487179,1,NM
570,-3.5066531653196167,1.325438707003963,1,NC
575,0.5072811426638943,-4.808910745182828,7,CA
586,0.1922253488221495,-2.800773505710046,0,CA
607,8.96717099975115,13.69634065128953,2,CA
612,19.89181554363399,9.161830023129992,2,NC
622,-10.689745459766439,3.3179790574784476,1,CA
625,-8.827871375585717,-0.08315804147063698,5,CA
